Abreviatura,Nombre,URL,URL,vencida,Esta en wikidata,URL Wikidata
 3dmet	Three-Dimensional Structure Database of Natural Metabolites	 http://www.3dmet.dna.affrc.go.jp/	NO	SI	https://www.wikidata.org/wiki/Q23948774	
 myco.smeg	MycoBrowser smegmatis	 http://mycobrowser.epfl.ch/smegmalist.html	NO	NO	por definir	
 myco.tuber	MycoBrowser tuberculosis	 http://tuberculist.epfl.ch/	NO	NO	por definir	
 mycobank	MycoBank	 http://www.mycobank.org/	NO	NO	por definir	
 mzspec	Universal Spectrum Identifier	 http://proteomecentral.proteomexchange.org/	NO	NO	por definir	
 n2t	Name-to-Thing	 https://n2t.net	desconocido	NO	por definir	
 namerxn	NameRXN	 https://www.nextmovesoftware.com/namerxn.html	desconocido	NO	por definir	
 napdi	Natural Product-Drug Interaction Research Data Repository	 https://repo.napdi.org/	NO	NO	por definir	
 napp	Nucleic Acid Phylogenetic Profile	 http://napp.u-psud.fr/	NO	NO	por definir	
 narcis	NARCIS	 http://www.narcis.nl/?Language=en	NO	NO	por definir	
 nasc	Nottingham Arabidopsis Stock Centre Seeds Database	 http://arabidopsis.info/	NO	NO	por definir	
 nbn	National Bibliography Number	 http://nbn-resolving.org/resolve_urn.htm	NO	NO	por definir	
 nbo	Neuro Behavior Ontology	 https://github.com/obo-behavior/behavior-ontology/	NO	NO	por definir	
 nbrc	NITE Biological Research Center Catalogue	 http://www.nbrc.nite.go.jp/e/index.html	NO	NO	por definir	
 ncats.drug	NCATS Drugs	 https://drugs.ncats.io/	desconocido	NO	por definir	
 ncbi.resource	NCBI Registry	 https://www.ncbi.nlm.nih.gov/genbank/collab/db_xref/	desconocido	NO	por definir	
 ncbibook	NCBI Bookshelf	 https://www.ncbi.nlm.nih.gov/books	desconocido	NO	por definir	
 ncbigene	NCBI Gene	 https://www.ncbi.nlm.nih.gov/gene	NO	SI	https://www.wikidata.org/wiki/Q1345229	
 ncbiprotein	NCBI Protein	 https://www.ncbi.nlm.nih.gov/protein	NO	NO	por definir	
 ncbitaxon	NCBI Taxonomy	 https://www.ncbi.nlm.nih.gov/Taxonomy/	NO	SI	https://www.wikidata.org/wiki/Q13711410	
 ncim	NCI Metathesaurus	 http://ncim.nci.nih.gov/	NO	NO	por definir	
 ncit	NCI Thesaurus	 http://ncit.nci.nih.gov/	NO	SI	https://www.wikidata.org/wiki/Q19404626	
 ncro	Non-coding RNA Ontology	 http://omnisearch.soc.southalabama.edu/w/index.php/Ontology	NO	NO	por definir	
 ndc	National Drug Code	 http://www.accessdata.fda.gov/scripts/cder/ndc/	NO	NO	por definir	
 nddf	National Drug Data File	 https://www.nlm.nih.gov/research/umls/sourcereleasedocs/current/NDDF	desconocido	NO	por definir	
 ndex	The Network Data Exchange	 https://www.ndexbio.org	desconocido	NO	por definir	
 ndfrt	National Drug File	 https://www.nlm.nih.gov/research/umls/sourcereleasedocs/current/NDFRT	desconocido	SI	https://www.wikidata.org/wiki/Q21008030	
 nemo	Neural ElectroMagnetic Ontologies	 https://www.nemoarchive.org	NO	NO	por definir	
 neurolex	NeuroLex	 http://www.neurolex.org/wiki/Main_Page	NO	NO	por definir	
 neuromorpho	NeuroMorpho	 http://neuromorpho.org/index.jsp	NO	NO	por definir	
 neuronames	NeuroNames	 http://braininfo.rprc.washington.edu/	desconocido	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 neurondb	NeuronDB	 http://senselab.med.yale.edu/NeuronDB/	NO	NO	por definir	
 neurovault.collection	NeuroVault Collection	 http://neurovault.org	NO	NO	por definir	
 neurovault.image	NeuroVault Image	 http://neurovault.org	NO	NO	por definir	
 nextdb	Nematode Expression Pattern DataBase	 http://nematode.lab.nig.ac.jp/	NO	NO	por definir	
 nextprot	neXtProt	 https://www.nextprot.org/	NO	SI	https://www.wikidata.org/wiki/Q6983890	
 nextprot.family	neXtProt family	 https://www.nextprot.org/	desconocido	NO	por definir	
 ngl	NASA GeneLab	 https://genelab-data.ndc.nasa.gov/genelab/	NO	NO	por definir	
 nhcdr	NINDS Human Cell and Data Repository	 https://stemcells.nindsgenetics.org	desconocido	NO	por definir	
 niaest	NIA Mouse cDNA Project	 http://lgsun.grc.nia.nih.gov/cDNA/	NO	NO	por definir	
 nif_cell	Neuroscience Information Framework (NIF) Cell Ontology	 http://neuinfo.org/	SI	NO	por definir	
 nif_dysfunction	NIF Dysfunction	 http://neuinfo.org/	SI	NO	por definir	
 nif_grossanatomy	NIF Gross Anatomy	 http://neuinfo.org/	SI	NO	por definir	
 nist	NIST Chemistry WebBook	 https://webbook.nist.gov/chemistry/	desconocido	NO	por definir	
 nlm	National Library of Medicine Catalog	 https://www.ncbi.nlm.nih.gov/nlmcatalog	desconocido	NO	por definir	
 nlxanat	NeuroLex Anatomy	 https://scicrunch.org/scicrunch/interlex/dashboard	desconocido	NO	por definir	
 nlxdys	NeuroLex Dysfunction	 https://scicrunch.org/scicrunch/interlex/dashboard	desconocido	NO	por definir	
 nmdc	National Microbiome Data Collaborative	 https://ror.org/02jbv0t02	NO	SI	https://www.wikidata.org/wiki/Q107698738	
 nmr	Nuclear Magnetic Resonance Controlled Vocabulary	 https://www.ebi.ac.uk/ols/ontologies/nmrcv	NO	NO	por definir	
 nmrshiftdb2	nmrshiftdb2	 https://nmrshiftdb.nmr.uni-koeln.de	NO	NO	por definir	
 nomen	A nomenclatural ontology for biological names	 https://github.com/SpeciesFileGroup/nomen	NO	NO	por definir	
 noncodev3	NONCODE v3	 http://www.noncode.org/	NO	NO	por definir	
 noncodev4.gene	NONCODE v4 Gene	 http://www.bioinfo.org/NONCODEv4/	NO	NO	por definir	
 noncodev4.rna	NONCODE v4 Transcript	 http://www.bioinfo.org/NONCODEv4/	NO	NO	por definir	
 norine	Non-Ribosomal Peptides Database	 http://bioinfo.lifl.fr/norine/	NO	NO	por definir	
 novus	Novus Biologicals	 https://www.novusbio.com	desconocido	NO	por definir	
 npass	Natural Product Activity and Species Source Database	 http://bidd.group/NPASS/	desconocido	NO	por definir	
 npo	NanoParticle Ontology	 https://bioportal.bioontology.org/ontologies/NPO	desconocido	NO	por definir	
 nuclearbd	NucleaRDB	 http://www.receptors.org/nucleardb/	NO	NO	por definir	
 nucleotide	Nucleotide	 https://www.ncbi.nlm.nih.gov/	NO	NO	por definir	
 oa	Web Annotation Ontology	 http://www.w3.org/ns/oa	desconocido	NO	por definir	
 oae	Ontology of Adverse Events	 https://github.com/OAE-ontology/OAE/	NO	NO	por definir	
 oarcs	Ontology of Arthropod Circulatory Systems	 https://github.com/aszool/oarcs	NO	NO	por definir	
 oba	Ontology of Biological Attributes	 https://github.com/obophenotype/bio-attribute-ontology	NO	NO	por definir	
 obcs	Ontology of Biological and Clinical Statistics	 https://github.com/obcs/obcs	NO	NO	por definir	
 obi	Ontology for Biomedical Investigations	 http://www.ontobee.org/	NO	NO	por definir	
 obib	Ontology for Biobanking	 https://github.com/biobanking/biobanking	NO	NO	por definir	
 obo	OBO Foundry	 http://www.obofoundry.org/	desconocido	NO	por definir	
 oboformat	OBO Format Syntax and Semantics	 https://github.com/geneontology/go-ontology/tree/master/contrib	desconocido	NO	por definir	
 oboinowl	OBO in OWL	 https://github.com/geneontology/go-ontology/tree/master/contrib	desconocido	NO	por definir	
 occ	OpenCitations Corpus	 https://w3id.org/oc/corpus	NO	NO	por definir	
 oci	Open Citation Identifier	 http://opencitations.net	NO	NO	por definir	
 ocid	Ontology Concept Identifiers	 https://ontochem.com/	NO	NO	por definir	
 oclc	Online Computer Library Center WorldCat	 https://www.oclc.org/en/about.html	NO	NO	por definir	
 odam	Open Data for Access and Mining	 https://metabolome.cgfb.u-bordeaux.fr/	NO	NO	por definir	
 odc.sci	Open Data Commons for Spinal Cord Injury	 https://odc-sci.org	NO	NO	por definir	
 odc.tbi	Open Data Commons for Traumatic Brain Injury	 https://odc-tbi.org	NO	NO	por definir	
 odor	Odor Molecules DataBase	 http://senselab.med.yale.edu/OdorDB	NO	NO	por definir	
 ogg	Ontology of Genes and Genomes	 https://bitbucket.org/hegroup/ogg	NO	NO	por definir	
 ogi	Ontology for Genetic Interval	 https://code.google.com/archive/p/ontology-for-genetic-interval/	NO	NO	por definir	
 ogms	Ontology for General Medical Science	 https://github.com/OGMS/ogms	NO	SI	https://www.wikidata.org/wiki/Q4866972	
 ogsf	Ontology for Genetic Susceptibility Factor	 https://code.google.com/p/ogsf/	NO	NO	por definir	
 ohd	The Oral Health and Disease Ontology	 https://purl.obolibrary.org/obo/ohd/home	NO	NO	por definir	
 ohmi	Ontology of Host-Microbe Interactions	 https://github.com/ohmi-ontology/ohmi	NO	NO	por definir	
 ohpi	Ontology of Host-Pathogen Interactions	 https://github.com/OHPI/ohpi	NO	NO	por definir	
 oid	OID Repository	 http://www.oid-info.com/introduction.htm	NO	NO	por definir	
 olatdv	Medaka Stage Ontology	 https://github.com/obophenotype/developmental-stage-ontologies/wiki/OlatDv	NO	NO	por definir	
 om	Ontology of units of Measure	 https://github.com/HajoRijgersberg/OM	desconocido	NO	por definir	
 oma.grp	OMA Group	 https://omabrowser.org/cgi-bin/gateway.pl	NO	NO	por definir	
 oma.hog	OMA HOGs	 https://omabrowser.org	NO	NO	por definir	
 oma.protein	OMA Protein	 https://omabrowser.org/cgi-bin/gateway.pl	NO	NO	por definir	
 omia	Online Mendelian Inheritance in Animals	 http://omia.angis.org.au/	NO	NO	por definir	
 omiabis	Ontologized MIABIS	 https://github.com/OMIABIS/omiabis-dev	SI	NO	por definir	
 omit	Ontology for MicroRNA Target	 https://www.ebi.ac.uk/ols/ontologies/omit/	NO	SI	https://www.wikidata.org/wiki/Q55118529	
 omo	OBO Metadata Ontology	 https://github.com/information-artifact-ontology/ontology-metadata	NO	NO	por definir	
 omop	Observational Medical Outcomes Partnership	 https://www.ohdsi.org/data-standardization/the-common-data-model/	desconocido	NO	por definir	
 omp	Ontology of Microbial Phenotypes	 http://microbialphenotypes.org	NO	SI	https://www.wikidata.org/wiki/Q81661753	
 omrse	Ontology of Medically Related Social Entities	 https://github.com/ufbmi/OMRSE/wiki/OMRSE-Overview	NO	NO	por definir	
 oncotree	OncoTree	 http://oncotree.mskcc.org	desconocido	NO	por definir	
 one	Ontology for Nutritional epidemiology	 https://github.com/cyang0128/Nutritional-epidemiologic-ontologies	NO	NO	por definir	
 ons	Ontology for Nutritional Studies	 https://github.com/enpadasi/Ontology-for-Nutritional-Studies	NO	NO	por definir	
 ontoavida	Ontology for Avida digital evolution platform	 https://gitlab.com/fortunalab/ontoavida	NO	NO	por definir	
 ontoneo	Obstetric and Neonatal Ontology	 http://ontoneo.com	NO	NO	por definir	
 oostt	Ontology of Organizational Structures of Trauma centers and Trauma systems	 https://github.com/OOSTT/OOSTT	NO	NO	por definir	
 opb	Ontology of Physics for Biology	 http://bioportal.bioontology.org/ontologies/OPB	NO	NO	por definir	
 openalex	OpenAlex	 https://openalex.org/	desconocido	NO	por definir	
 opl	Ontology for Parasite LifeCycle	 https://github.com/OPL-ontology/OPL	NO	NO	por definir	
 opm	Open Provenance Model	 http://opm.phar.umich.edu/	NO	NO	por definir	
 opmi	Ontology of Precision Medicine and Investigation	 https://github.com/OPMI/opmi	NO	NO	por definir	
 orcid	Open Researcher and Contributor ID	 https://orcid.org	NO	SI	https://www.wikidata.org/wiki/Q51044	
 ordb	Olfactory Receptor Database	 http://senselab.med.yale.edu/OrDB/	NO	NO	por definir	
 oridb.sacch	OriDB Saccharomyces	 http://cerevisiae.oridb.org/index.php	NO	NO	por definir	
 oridb.schizo	OriDB Schizosaccharomyces	 http://pombe.oridb.org/index.php	NO	NO	por definir	
 ornaseq	Ontology of RNA Sequencing	 http://kim.bio.upenn.edu/software/ornaseq.shtml	NO	NO	por definir	
 orphanet	Orphanet	 http://www.orpha.net/consor/	NO	SI	https://www.wikidata.org/wiki/Q1515833	
 orphanet.ordo	Orphanet Rare Diseases Ontology	 https://www.ebi.ac.uk/ols/ontologies/ordo	NO	NO	por definir	
 orth	Orthology Ontology	 https://github.com/qfo/OrthologyOntology	desconocido	NO	por definir	
 orthodb	Database of Orthologous Groups	 http://cegg.unige.ch/orthodb4	NO	NO	por definir	
 oryzabase.gene	Oryzabase Gene	 http://www.shigen.nig.ac.jp/rice/oryzabaseV4/	NO	NO	por definir	
 oryzabase.mutant	Oryzabase Mutant	 http://www.shigen.nig.ac.jp/rice/oryzabaseV4/	NO	NO	por definir	
 oryzabase.reference	Oryzabase Reference	 http://www.shigen.nig.ac.jp/rice/oryzabaseV4/	NO	NO	por definir	
 oryzabase.stage	Oryzabase Stage	 http://www.shigen.nig.ac.jp/rice/oryzabaseV4/	NO	NO	por definir	
 oryzabase.strain	Oryzabase Strain	 http://www.shigen.nig.ac.jp/rice/oryzabaseV4/	NO	NO	por definir	
 otl	Oryza Tag Line	 http://oryzatagline.cirad.fr/	NO	NO	por definir	
 ovae	Ontology of Vaccine Adverse Events	 http://www.violinet.org/ovae/	NO	NO	por definir	
 owl	Web Ontology Language	 https://www.w3.org/TR/owl-features/	desconocido	NO	por definir	
 p3db.protein	P3DB Protein	 http://www.p3db.org/	NO	NO	por definir	
 p3db.site	P3DB Site	 http://www.p3db.org/	NO	NO	por definir	
 paleodb	Paleobiology Database	 http://paleodb.org/	NO	NO	por definir	
 panorama	Panorama Public	 https://panoramaweb.org	desconocido	NO	por definir	
 panther.family	PANTHER Family	 http://www.pantherdb.org/	NO	NO	por definir	
 panther.node	PANTHER Node	 http://pantree.org/	NO	NO	por definir	
 panther.pathway	PANTHER Pathway	 http://www.pantherdb.org/	NO	NO	por definir	
 panther.pthcmp	PANTHER Pathway Component	 http://www.pantherdb.org/	NO	NO	por definir	
 pao	Plant Anatomy Ontology	 http://www.plantontology.org	SI	NO	por definir	
 pass2	Protein Alignment organised as Structural Superfamily	 http://caps.ncbs.res.in/pass2/	NO	NO	por definir	
 pathbank	PathBank	 https://pathbank.org	desconocido	NO	por definir	
 pathwaycommons	Pathway Commons	 http://www.pathwaycommons.org/pc/	NO	NO	por definir	
 pato	Phenotypic QualiTy Ontology	 https://www.ebi.ac.uk/ols/ontologies/pato	NO	NO	por definir	
 pav	Provenance, Authoring and Versioning Ontology	 https://pav-ontology.github.io/pav/	desconocido	NO	por definir	
 paxdb.organism	PaxDb Organism	 http://pax-db.org/	NO	NO	por definir	
 paxdb.protein	PaxDb Protein	 http://pax-db.org/	NO	NO	por definir	
 pazar	PAZAR	 http://www.pazar.info/	NO	NO	por definir	
 pcl	Provisional Cell Ontology	 https://github.com/obophenotype/provisional_cell_ontology	NO	NO	por definir	
 pco	Population and Community Ontology	 https://github.com/PopulationAndCommunityOntology/pco	NO	NO	por definir	
 pd_st	Platynereis stage ontology	 http://4dx.embl.de/platy	SI	NO	por definir	
 pdb	Worldwide Protein Data Bank	 https://www.wwpdb.org/	NO	SI	https://www.wikidata.org/wiki/Q766195	
 pdb-ccd	Chemical Component Dictionary	 https://www.ebi.ac.uk/pdbe-srv/pdbechem/	NO	NO	por definir	
 pdb.ligand	Protein Data Bank Ligand	 http://www.pdb.org/	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 pdro	The Prescription of Drugs Ontology	 https://github.com/OpenLHS/PDRO	NO	NO	por definir	
 pdumdv	Platynereis Developmental Stages	 https://github.com/obophenotype/developmental-stage-ontologies/wiki/PdumDv	NO	NO	por definir	
 peco	Plant Experimental Condition Ontology	 http://planteome.org/	NO	NO	por definir	
 ped	PED	 https://proteinensemble.org/	NO	NO	por definir	
 ped.ensemble	Protein Ensemble Database ensemble	 https://proteinensemble.org/	NO	NO	por definir	
 peff	PSI Extended File Format	 https://www.psidev.info/peff	SI	NO	por definir	
 peptideatlas	PeptideAtlas	 http://www.peptideatlas.org/	NO	NO	por definir	
 peptideatlas.dataset	PeptideAtlas Dataset	 https://db.systemsbiology.net/sbeams/cgi/PeptideAtlas/PASS_Summary	NO	NO	por definir	
 perkinelmer	PerkinElmer cell line collection	 https://www.perkinelmer.com/	desconocido	NO	por definir	
 peroxibase	PeroxiBase	 http://peroxibase.toulouse.inra.fr/	NO	NO	por definir	
 pesticides	Alan Wood's Pesticides	 http://www.alanwood.net/pesticides	desconocido	NO	por definir	
 pfam	Protein Families	 https://pfam.xfam.org/	NO	SI	https://www.wikidata.org/wiki/Q906796	
 pfam.clan	Pfam Clans	 https://pfam.xfam.org	desconocido	NO	por definir	
 pfr	Texas Data Repository	 http://repository.topdownproteomics.org/proteoforms	desconocido	NO	por definir	
 pgdso	Plant Growth and Development Stage	 http://www.plantontology.org	SI	NO	por definir	
 pgs	Polygenic Score Catalog	 http://pgscatalog.org	NO	NO	por definir	
 pgx	Progenetix	 https://progenetix.org/	NO	NO	por definir	
 pharmacodb.cell	PharmacoDB Cells	 https://pharmacodb.ca/cell_lines	desconocido	NO	por definir	
 pharmacodb.dataset	PharmacoDB Datasets	 https://pharmacodb.ca/datasets	desconocido	NO	por definir	
 pharmacodb.tissue	PharmacoDB Tissues	 https://pharmacodb.ca/tissues	desconocido	NO	por definir	
 pharmgkb.disease	PharmGKB Disease	 http://www.pharmgkb.org/	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 pharmgkb.drug	PharmGKB Drug	 http://www.pharmgkb.org/	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 pharmgkb.gene	PharmGKB Gene	 http://www.pharmgkb.org/	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 pharmgkb.pathways	PharmGKB Pathways	 http://www.pharmgkb.org/	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 phenolexplorer	Phenol-Explorer	 http://www.phenol-explorer.eu/foods/	NO	NO	por definir	
 phenx	PhenX Phenotypic Terms	 https://www.phenxtoolkit.org/	desconocido	NO	por definir	
 phipo	Pathogen Host Interaction Phenotype Ontology	 https://github.com/PHI-base/phipo	NO	NO	por definir	
 phosphopoint.kinase	PhosphoPoint Kinase	 http://kinase.bioinformatics.tw/	NO	NO	por definir	
 phosphopoint.protein	PhosphoPoint Phosphoprotein	 http://kinase.bioinformatics.tw/	NO	NO	por definir	
 phosphosite.protein	PhosphoSite Protein	 http://www.phosphosite.org/homeAction.do	NO	NO	por definir	
 phosphosite.residue	PhosphoSite Residue	 http://www.phosphosite.org/homeAction.do	NO	NO	por definir	
 phylomedb	PhylomeDB	 http://phylomedb.org/	NO	NO	por definir	
 phytozome.locus	Phytozome Locus	 http://www.phytozome.net/	NO	NO	por definir	
 pictar	PicTar	 https://pictar.mdc-berlin.de/	SI	NO	por definir	
 pid.pathway	Pathway Interaction Database	 http://pid.nci.nih.gov/	NO	NO	por definir	
 pigqtldb	Animal Genome Pig QTL	 https://www.animalgenome.org/QTLdb	NO	NO	por definir	
 pina	Protein Interaction Network Analysis platform	 http://cbg.garvan.unsw.edu.au/pina/	NO	NO	por definir	
 piroplasma	PiroplasmaDB	 http://piroplasmadb.org/	NO	NO	por definir	
 pirsf	PIR SuperFamily	 https://pir.georgetown.edu/	NO	NO	por definir	
 pkdb	Pharmacokinetics Database	 https://www.hu-berlin.de/?set_language=en&cl=en	NO	NO	por definir	
 plana	Planarian Anatomy and Developmental Stage Ontology	 https://github.com/obophenotype/planaria-ontology	NO	NO	por definir	
 planp	Planarian Phenotype Ontology	 https://github.com/obophenotype/planarian-phenotype-ontology	NO	NO	por definir	
 planttfdb	Plant Transcription Factor Database	 http://planttfdb.cbi.pku.edu.cn	NO	NO	por definir	
 plasmodb	PlasmoDB	 http://plasmodb.org/plasmo/	NO	NO	por definir	
 plo	Plasmodium Life Cycle	 http://www.sanger.ac.uk/Users/mb4/PLO/	SI	NO	por definir	
 pmap.cutdb	CutDB	 http://cutdb.burnham.org	NO	NO	por definir	
 pmap.substratedb	SubstrateDB	 http://substrate.burnham.org/	NO	NO	por definir	
 pmc	PubMed Central	 http://europepmc.org/	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 pmdb	Protein Model Database	 https://bioinformatics.cineca.it/PMDB/	NO	NO	por definir	
 pmp	Protein Model Portal	 http://www.proteinmodelportal.org/	NO	NO	por definir	
 pmr	Physiome Model Repository	 https://www.auckland.ac.nz/en.html	NO	NO	por definir	
 po	Plant Ontology	 http://www.plantontology.org/	NO	NO	por definir	
 pocketome	Pocketome: an encyclopedia of small-molecule binding sites in 4D	 http://www.pocketome.org/sfSearch.cgi?act=browseall	NO	NO	por definir	
 polbase	Polbase	 http://polbase.neb.com/	NO	NO	por definir	
 pombase	PomBase	 http://www.pombase.org/	NO	SI	https://www.wikidata.org/wiki/Q25304673	
 poro	Porifera Ontology	 https://github.com/obophenotype/porifera-ontology	NO	NO	por definir	
 ppdb	Plant Promoter Database	 https://sitem.herts.ac.uk/aeru/ppdb/	desconocido	NO	por definir	
 ppo	Plant Phenology Ontology	 https://github.com/PlantPhenoOntology/PPO	NO	NO	por definir	
 ppr	Europe PMC Preprints	 https://europepmc.org	desconocido	NO	por definir	
 pr	PRotein Ontology	 https://proconsortium.org/	NO	SI	https://www.wikidata.org/wiki/Q55118584	
 pride	PRoteomics IDEntifications database	 https://www.ebi.ac.uk/pride/	NO	NO	por definir	
 pride.project	PRIDE Project	 https://www.ebi.ac.uk/pride/	NO	NO	por definir	
 prints	PRINTS	 http://www.bioinf.manchester.ac.uk/dbbrowser/sprint/	NO	NO	por definir	
 probonto	Ontology and Knowledge Base of Probability Distributions	 https://www.ebi.ac.uk/ols/ontologies/probonto	NO	NO	por definir	
 prodom	ProDom	 http://prodom.prabi.fr/prodom/current/html/home.php	NO	NO	por definir	
 proglyc	ProGlycProt	 http://www.proglycprot.org/	NO	NO	por definir	
 propreo	Proteomics Data and Process Provenance Ontology	 http://lsdis.cs.uga.edu/projects/glycomics/propreo/	SI	NO	por definir	
 prosite	PROSITE	 https://www.expasy.org/prosite/	NO	SI	https://www.wikidata.org/wiki/Q899676	
 protclustdb	NCBI Protein Clusters Database	 https://www.ncbi.nlm.nih.gov/proteinclusters?db=proteinclusters	NO	NO	por definir	
 proteomicsdb.peptide	ProteomicsDB Peptide	 https://www.proteomicsdb.org/#peptideSearch	NO	NO	por definir	
 proteomicsdb.protein	ProteomicsDB Protein	 https://www.proteomicsdb.org/#human	NO	NO	por definir	
 protonet.cluster	ProtoNet Cluster	 http://www.protonet.cs.huji.ac.il/	NO	NO	por definir	
 protonet.proteincard	ProtoNet ProteinCard	 http://www.protonet.cs.huji.ac.il/	NO	NO	por definir	
 prov	PROV Namespace	 https://www.w3.org/ns/prov	desconocido	NO	por definir	
 pscdb	Protein Structure Change Database	 http://idp1.force.cs.is.nagoya-u.ac.jp/pscdb/index.html	NO	NO	por definir	
 psdo	Performance Summary Display Ontology	 https://github.com/Display-Lab/psdo	NO	NO	por definir	
 pseudogene	PseudoGene	 http://www.pseudogene.org	desconocido	SI	https://www.wikidata.org/wiki/Q7254809	
 pseudomonas	Pseudomonas Genome Database	 http://www.pseudomonas.com/	NO	NO	por definir	
 psipar	Protein Affinity Reagents	 https://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PAR	NO	NO	por definir	
 pso	PatientSafetyOntology	 https://github.com/Planteome/plant-stress-ontology	NO	NO	por definir	
 pspub	Phenoscape Publication	 https://wiki.phenoscape.org/wiki/Curation_workflow	desconocido	NO	por definir	
 pubchem.bioassay	PubChem-bioassay	 https://www.ncbi.nlm.nih.gov/sites/entrez?db=pcassay	NO	NO	por definir	
 pubchem.compound	PubChem	 https://pubchem.ncbi.nlm.nih.gov/	NO	SI	https://www.wikidata.org/wiki/Q278487	
 pubchem.element	PubChem Element	 https://pubchem.ncbi.nlm.nih.gov/periodic-table	desconocido	NO	por definir	
 pubchem.substance	PubChem-substance	 https://pubchem.ncbi.nlm.nih.gov/	NO	SI	https://www.wikidata.org/wiki/Q278487	
 publons.researcher	Publons Researcher ID	 https://publons.com/researcher	desconocido	NO	por definir	
 pubmed	PubMed	 https://www.ncbi.nlm.nih.gov/PubMed/	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 pw	Pathway Ontology	 http://rgd.mcw.edu/rgdweb/ontology/search.html	NO	SI	https://www.wikidata.org/wiki/Q28864280	
 px	ProteomeXchange	 http://www.proteomexchange.org/	NO	NO	por definir	
 pypi	PyPI	 https://www.python.org/psf/	NO	NO	por definir	
 qtldb	Animal Genome QTL	 https://www.animalgenome.org/QTLdb	NO	NO	por definir	
 qudt	Quantities, Units, Dimensions and Types	 https://qudt.org	desconocido	NO	por definir	
 radiomics	Radiomics Ontology	 http://www.radiomics.org/RO	desconocido	NO	por definir	
 rapdb.locus	RAP-DB Locus	 https://rapdb.dna.affrc.go.jp/	NO	NO	por definir	
 rapdb.transcript	RAP-DB Transcript	 https://rapdb.dna.affrc.go.jp/	NO	NO	por definir	
 rbk	(Re)Building a Kidney	 https://www.rebuildingakidney.org/	NO	NO	por definir	
 rbo	Radiation Biology Ontology	 https://github.com/Radiobiology-Informatics-Consortium/RBO	NO	NO	por definir	
 rcb	RIKEN Bioresource Center Cell Bank	 https://cell.brc.riken.jp/en/rcb	desconocido	NO	por definir	
 rdf	Resource Description Framework	 http://www.w3.org/1999/02/22-rdf-syntax-ns	desconocido	NO	por definir	
 rdfs	Resource Description Framework Schema	 https://www.w3.org/TR/rdf-schema/	desconocido	NO	por definir	
 rdo	RGD Disease_Ontology	 https://ratmine.mcw.edu/ontology/disease/	desconocido	NO	por definir	
 re3data	re3data	 https://datacite.org	NO	NO	por definir	
 reactome	Reactome	 https://www.reactome.org/	NO	SI	https://www.wikidata.org/wiki/Q2134522	
 reaxys	Reaxys	 https://www.reaxys.com	desconocido	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 rebase	Restriction enzymes and methylases database	 http://rebase.neb.com/rebase/	NO	NO	por definir	
 receptome.family	Human Plasma Membrane Receptome Families	 http://www.receptome.org	desconocido	NO	por definir	
 refseq	Reference Sequence Database	 https://www.ncbi.nlm.nih.gov/projects/RefSeq/	NO	NO	por definir	
 reo	Reagent Ontology	 https://github.com/tis-lab/reagent-ontology	desconocido	NO	por definir	
 repeatsdb.protein	RepeatsDB Protein	 https://repeatsdb.org/	NO	NO	por definir	
 repeatsdb.structure	RepeatsDB Structure	 https://repeatsdb.org/	NO	NO	por definir	
 reproduceme	REPRODUCE-ME	 https://w3id.org/reproduceme/research	desconocido	NO	por definir	
 resid	RESID	 http://pir0.georgetown.edu/resid/	NO	NO	por definir	
 reto	Regulation of Transcription Ontolology	 http://www.semantic-systems-biology.org/apo	desconocido	NO	por definir	
 rex	Physico-chemical process	 https://www.ebi.ac.uk/chebi/	NO	NO	por definir	
 rexo	Regulation of Gene Expression Ontolology	 http://www.semantic-systems-biology.org/apo	desconocido	NO	por definir	
 rfam	Rfam	 https://rfam.xfam.org/	NO	NO	por definir	
 rgd	Rat Genome Database	 http://rgd.mcw.edu/	NO	SI	https://www.wikidata.org/wiki/Q7295410	
 rgd.qtl	Rat Genome Database qTL	 http://rgd.mcw.edu/	NO	NO	por definir	
 rgd.strain	Rat Genome Database strain	 http://rgd.mcw.edu/	NO	NO	por definir	
 rhea	Rhea	 https://www.rhea-db.org/	NO	SI	https://www.wikidata.org/wiki/Q24265951	
 ricegap	Rice Genome Annotation Project	 http://rice.plantbiology.msu.edu/annotation_pseudo_current.shtml	NO	NO	por definir	
 ricenetdb.compound	RiceNetDB Compound	 http://bis.zju.edu.cn/ricenetdb	NO	NO	por definir	
 ricenetdb.gene	RiceNetDB Gene	 http://bis.zju.edu.cn/ricenetdb/	NO	NO	por definir	
 ricenetdb.mirna	RiceNetDB miRNA	 http://bis.zju.edu.cn/ricenetdb	NO	NO	por definir	
 ricenetdb.protein	RiceNetDB Protein	 http://bis.zju.edu.cn/ricenetdb/	NO	NO	por definir	
